Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Charles County,2035,Total Non-Hispanic Black,7797,8520,9228,8862,5942,6103,7189,8591,8765,7380,6348,6105,7455,7769,6149,3837,1692,1274,119006
Carroll County,2015,Total Non-Hispanic Other,450,711,707,589,345,307,271,271,378,382,410,325,224,175,119,53,27,24,5768
Charles County,2015,Total Non-Hispanic Other,773,1207,1235,1134,768,693,712,782,756,764,716,640,497,350,196,127,102,19,11471
Kent County,2015,Total Non-Hispanic Other,26,73,63,41,39,23,25,20,15,17,26,28,22,24,14,4,2,3,465
Howard County,2030,Total Non-Hispanic Other,6608,7136,7509,7812,7092,7172,7121,7035,6799,7146,6776,6371,5347,4655,3571,2567,1809,1311,103837
Prince George's County,2035,Total Non-Hispanic Other,4678,3889,3678,3395,4377,5999,5099,4644,4913,4651,4331,4497,4022,3115,2446,1893,1071,773,67471
Charles County,2040,Non-Hisp White Female,12549,13591,14980,15015,9966,9666,10400,11997,13484,13431,11016,9255,8751,10250,9911,7867,3512,2214,187855
Frederick County,2045,Total Non-Hispanic Other,3255,3430,3363,2950,2199,1895,1925,2934,2792,2683,2262,1729,1670,1705,1537,1172,920,434,38855
Kent County,2030,Total Non-Hispanic Other,53,33,28,26,84,47,33,20,18,21,25,17,17,25,17,8,7,3,482
Caroline County,2010,Total Non-Hispanic Other,145,125,117,83,45,39,37,37,47,41,48,42,24,19,11,9,3,3,875
Wicomico County,2025,Total Non-Hispanic Other,539,430,469,813,792,623,466,493,395,412,389,337,329,239,176,108,41,13,7064
St. Mary's County,2045,Total Non-Hispanic Other,1070,1119,1178,1229,755,663,678,1038,924,734,652,535,502,426,351,305,160,86,12405
Allegany County,2015,Total Non-Hispanic Other,156,287,268,205,198,147,103,89,85,60,71,76,67,47,47,20,13,14,1953
Carroll County,2025,Total Non-Hispanic Other,713,624,553,809,561,489,466,425,331,317,469,459,457,353,226,96,55,42,7445
Baltimore City,2010,Total Non-Hispanic Other,2472,1658,1362,1283,3300,3802,2880,1981,1480,1304,1203,988,805,574,416,299,182,176,26165
Harford County,2020,Total Non-Hispanic Other,1250,1297,1859,1732,1099,937,944,1115,1006,1002,912,851,745,526,394,231,145,57,16102
Prince George's County,2015,Total Non-Hispanic Other,3580,3967,3801,3770,5381,5631,4270,4287,3926,3668,3570,3531,3181,2393,1541,955,506,427,58385
Baltimore City,2025,Total Non-Hispanic Other,2018,1523,1375,1784,2486,2382,2360,3129,3243,2615,2089,1521,1321,1082,771,476,230,105,30510
Queen Anne's County,2040,Total Non-Hispanic Other,232,227,206,130,85,98,205,199,150,129,101,78,97,126,115,97,48,-2,2321
St. Mary's County,2010,Total Non-Hispanic Other,770,684,614,543,336,336,369,321,386,380,316,235,211,117,74,48,37,18,5795
Baltimore City,2040,Total Non-Hispanic Other,1787,1196,1139,1390,2165,1927,2236,2162,2000,2088,3220,3271,2594,1871,1172,761,420,191,31590
Carroll County,2020,Total Non-Hispanic Other,541,528,750,772,438,390,379,313,285,426,428,446,333,241,167,71,42,30,6580
Queen Anne's County,2025,Total Non-Hispanic Other,131,113,127,216,170,126,106,83,66,87,117,114,109,82,66,45,19,0,1777
Allegany County,2010,Total Non-Hispanic Other,232,238,184,147,160,112,76,93,60,59,81,58,66,45,32,14,13,10,1680
Talbot County,2010,Total Non-Hispanic Other,155,134,121,91,59,76,57,57,88,65,58,52,32,19,16,10,6,3,1099
Calvert County,2010,Total Non-Hispanic Other,428,519,500,360,188,174,170,214,269,287,209,155,132,75,50,35,24,9,3798
Charles County,2020,Total Non-Hispanic Other,1034,864,1427,1298,1040,939,827,842,841,784,834,763,659,515,330,194,119,33,13343
Baltimore County,2045,Total Non-Hispanic Other,7340,7528,7296,6862,6967,7063,7328,8607,7927,7212,6331,6201,6155,5388,5004,3434,2297,1639,110579
Charles County,2035,Total Non-Hispanic Other,1772,1849,1569,1349,942,1529,1571,1595,1309,1027,961,953,887,880,723,569,425,79,19989
Caroline County,2045,Total Non-Hispanic Other,216,197,201,186,89,67,53,142,128,83,69,58,34,23,21,16,10,9,1602
Cecil County,2045,Total Non-Hispanic Other,719,784,804,805,649,493,397,691,688,632,406,333,291,134,104,51,28,13,8022
Howard County,2020,Total Non-Hispanic Other,5984,6824,6720,6232,4835,5079,5222,6039,6249,6031,5214,4423,3447,2563,2007,1366,933,550,79718
Harford County,2010,Total Non-Hispanic Other,1421,1444,1242,947,613,682,738,851,770,750,661,478,420,314,206,119,78,45,11779
State of Maryland,2045,Total Non-Hispanic Other,55718,57720,57821,55029,49924,49939,50491,61058,59811,55541,49749,47235,47299,43246,38980,29741,22260,23834,855396
Queen Anne's County,2045,Total Non-Hispanic Other,244,250,234,181,111,90,105,224,215,165,137,105,82,101,125,102,70,0,2541
Worcester County,2020,Total Non-Hispanic Other,155,171,272,208,119,77,81,86,92,98,95,103,111,68,50,29,13,12,1840
Baltimore City,2045,Total Non-Hispanic Other,1582,1309,1127,1146,1826,2286,1833,1959,2180,2015,2104,3210,3260,2355,1608,875,447,227,31349
Calvert County,2035,Total Non-Hispanic Other,398,447,425,350,186,362,431,385,329,309,262,232,278,230,217,139,76,11,5067
Talbot County,2015,Total Non-Hispanic Other,48,150,134,103,90,58,76,57,57,84,65,44,37,20,18,14,9,7,1071
Worcester County,2040,Total Non-Hispanic Other,222,249,245,257,94,108,177,152,123,104,105,104,128,103,82,67,43,25,2388
Queen Anne's County,2030,Total Non-Hispanic Other,187,146,115,111,190,179,133,115,90,74,93,123,117,114,80,59,28,0,1954
Frederick County,2040,Total Non-Hispanic Other,3252,3174,2881,2588,1537,1655,2724,2637,2622,2146,1669,1629,1723,1819,1252,958,737,299,35302
Charles County,2030,Total Non-Hispanic Other,1734,1423,1313,1040,1358,1417,1450,1259,1011,920,930,886,895,786,622,460,300,59,17863
Worcester County,2010,Total Non-Hispanic Other,210,166,178,121,73,67,88,84,69,95,103,69,67,41,30,15,13,13,1502
Cecil County,2030,Total Non-Hispanic Other,673,559,414,347,568,612,527,382,317,289,223,270,230,139,88,34,20,9,5701
Wicomico County,2040,Total Non-Hispanic Other,752,772,762,637,529,519,895,842,743,561,547,422,398,320,242,172,92,40,9245
Calvert County,2020,Total,6839,8240,9446,9314,6966,6581,6990,8168,9410,10756,11185,10592,8743,6553,4778,3618,2726,2847,133752
Anne Arundel County,2015,Total Non-Hispanic Other,2758,4003,3638,3082,2465,2504,2855,2888,2620,2210,2207,1977,1576,1155,853,460,286,123,37660
St. Mary's County,2025,Total Non-Hispanic Other,712,623,690,1061,686,577,531,434,430,437,389,444,452,301,223,145,50,28,8213
Baltimore City,2030,Total Non-Hispanic Other,1654,1466,1430,1381,2243,2595,2263,2049,3151,3263,2616,2072,1510,1183,922,572,277,122,30769
St. Mary's County,2020,Total Non-Hispanic Other,559,595,1006,853,524,483,412,394,424,365,424,429,353,218,180,95,31,23,7368
Montgomery County,2015,Total Non-Hispanic Other,12881,13989,13847,11796,9391,11220,13180,14165,14476,14067,13730,11844,9686,7841,5550,3908,2326,2299,186196
St. Mary's County,2030,Total Non-Hispanic Other,968,811,740,735,863,771,648,565,482,446,476,412,476,390,311,180,80,43,9397
Washington County,2015,Total Non-Hispanic Other,440,998,993,725,449,357,379,356,377,339,335,274,216,125,91,59,14,18,6545
Charles County,2040,Total Non-Hispanic Other,1793,1876,2017,1608,1221,1043,1672,1705,1648,1327,1061,979,953,864,805,651,526,107,21856
Montgomery County,2035,Total Non-Hispanic Other,17177,16416,15980,14896,14093,16974,18192,17580,15305,15123,16166,16397,16100,14569,13351,10427,7099,10411,266256
Cecil County,2015,Total Non-Hispanic Other,261,453,461,417,282,255,217,195,236,206,187,192,130,82,46,28,17,7,3672
Anne Arundel County,2045,Total Non-Hispanic Other,4684,4873,4972,4725,3951,3792,3793,5580,5062,4452,3744,3305,3440,3099,2717,1779,1509,567,66044
Cecil County,2035,Total Non-Hispanic Other,707,715,613,434,355,652,603,581,407,330,280,237,269,142,90,50,21,10,6496
Calvert County,2020,Non-Hisp White Male,1931,2117,2133,2265,1983,2000,2343,2309,1866,2116,2957,3523,2857,2129,1679,1187,704,914,37013
Calvert County,2020,Total Non-Hispanic Other,291,292,593,600,297,262,255,222,214,267,302,302,228,123,94,64,33,7,4446
Garrett County,2020,Total Non-Hispanic Other,34,39,81,68,40,50,42,21,14,17,16,17,21,17,9,6,3,10,505
Anne Arundel County,2035,Total Non-Hispanic Other,4690,4498,3854,3507,3442,5224,4872,4325,3649,3248,3422,3286,2945,2269,2134,1492,1048,359,58264
Worcester County,2045,Total Non-Hispanic Other,233,231,292,244,124,92,120,188,144,138,115,98,114,107,99,57,44,33,2473
Wicomico County,2010,Total Non-Hispanic Other,590,543,497,374,417,284,288,304,280,311,262,222,178,110,60,43,20,8,4791
Dorchester Co,2020,Total Non-Hispanic Other,86,77,168,114,80,77,72,78,62,62,54,64,68,41,38,16,7,3,1167
Calvert County,2040,Total Non-Hispanic Other,394,426,485,408,204,198,383,449,409,339,312,262,235,202,216,188,100,14,5224
Frederick County,2015,Total Non-Hispanic Other,1303,2019,1945,1583,991,998,1165,1347,1500,1223,1053,867,622,427,246,200,130,49,17668
Baltimore City,2015,Total Non-Hispanic Other,1955,1875,1568,1377,2251,3740,3631,2537,2031,1503,1333,1200,984,731,500,310,162,120,27808
State of Maryland,2025,Total Non-Hispanic Other,46925,43407,44972,52949,47977,48554,44553,43726,44827,44587,43671,38188,35305,28658,21494,15425,9128,8402,662748
Caroline County,2015,Total Non-Hispanic Other,68,161,153,107,54,51,46,40,43,39,43,48,30,21,15,7,6,3,935
Washington County,2045,Total Non-Hispanic Other,1229,1308,1335,1326,1028,784,607,1293,1154,933,702,516,530,384,374,206,49,23,13781
Baltimore County,2030,Total Non-Hispanic Other,6621,6609,6561,6721,7998,7622,7013,6212,6109,6051,6058,5885,4599,3531,2989,2023,1339,783,94724
Garrett County,2025,Total Non-Hispanic Other,50,40,66,70,76,51,51,36,19,17,17,17,20,19,10,12,11,8,590
Talbot County,2035,Total Non-Hispanic Other,117,108,96,68,46,159,134,115,108,63,83,47,32,30,21,19,19,30,1295
Garrett County,2035,Total Non-Hispanic Other,97,82,80,48,50,87,91,39,29,32,23,17,15,16,8,11,17,12,754
Garrett County,2045,Total Non-Hispanic Other,98,112,148,90,59,52,61,63,47,33,35,31,23,17,5,11,13,13,911
Baltimore County,2020,Total Non-Hispanic Other,6004,6199,7192,6230,5773,5616,5668,5808,5756,5566,4450,3855,3481,2406,1956,1220,784,423,78387
Dorchester Co,2040,Total Non-Hispanic Other,156,138,120,95,62,65,157,127,109,94,91,89,68,58,49,25,13,3,1519
Talbot County,2030,Total Non-Hispanic Other,110,92,76,46,154,133,114,104,66,83,60,44,52,23,20,22,16,25,1240
Queen Anne's County,2020,Total Non-Hispanic Other,99,124,245,191,120,99,77,61,76,109,109,107,79,68,51,29,7,0,1651
Anne Arundel County,2020,Total Non-Hispanic Other,2953,2950,4468,3856,3166,2980,2853,3121,3005,2761,2307,2284,2010,1491,1130,694,407,149,42585
Cecil County,2020,Total Non-Hispanic Other,333,284,512,488,431,339,253,246,213,250,205,205,195,82,57,31,17,9,4150
Garrett County,2030,Total Non-Hispanic Other,74,56,61,53,73,93,53,42,27,22,18,14,19,18,9,12,17,10,671
Baltimore County,2035,Total Non-Hispanic Other,7127,6728,6721,6633,6987,8379,7767,7144,6263,6141,6130,6070,5915,4084,3371,2627,1571,1042,100700
Wicomico County,2020,Total Non-Hispanic Other,402,422,741,704,651,433,430,367,384,374,331,343,268,195,152,74,23,12,6306
Washington County,2010,Total Non-Hispanic Other,856,836,694,491,303,345,302,355,299,313,246,206,145,92,78,47,23,15,5646
Talbot County,2020,Total Non-Hispanic Other,74,48,164,127,105,99,60,81,63,54,84,49,35,24,19,17,13,11,1127
Calvert County,2015,Total Non-Hispanic Other,255,505,622,481,227,225,203,189,248,294,296,216,168,98,72,45,26,7,4177
State of Maryland,2040,Total Non-Hispanic Other,56947,55809,54310,51138,46019,49188,59355,58723,54488,48896,47070,47420,45956,41503,34038,27406,19030,19101,816397
Somerset County,2030,Total Non-Hispanic Other,102,134,88,56,95,69,69,63,70,38,49,43,41,37,24,16,12,12,1018
Harford County,2015,Total Non-Hispanic Other,1137,1673,1641,1327,799,742,915,934,933,844,828,687,532,420,297,162,111,48,14030
Frederick County,2025,Total Non-Hispanic Other,2296,1673,1601,2338,1765,2023,1865,1490,1488,1570,1749,1468,1244,977,561,395,260,123,24886
Somerset County,2010,Total Non-Hispanic Other,85,86,58,43,56,23,30,23,36,32,50,33,26,24,13,12,5,2,637
Carroll County,2035,Total Non-Hispanic Other,896,951,821,672,392,607,679,608,532,471,379,353,485,463,433,161,87,79,9069
Allegany County,2035,Total Non-Hispanic Other,262,255,196,192,216,326,243,197,135,114,101,73,85,41,42,29,21,24,2552
Washington County,2030,Total Non-Hispanic Other,1179,1085,841,650,1144,1063,845,669,492,533,456,494,408,329,238,129,26,21,10602
Charles County,2040,Total,25392,27143,29681,29171,20432,19992,21725,24522,27016,26725,22141,19011,17803,20241,19856,16233,7787,5087,379958
Garrett County,2010,Total Non-Hispanic Other,34,34,37,25,24,18,15,12,11,17,17,16,18,7,2,5,6,1,299
Baltimore County,2010,Total Non-Hispanic Other,6093,5374,4613,3855,4112,4835,5078,5136,4008,3489,3238,2550,2253,1444,1130,621,351,247,58427
Carroll County,2040,Total Non-Hispanic Other,923,975,978,856,453,415,675,733,627,564,500,393,346,489,425,203,121,100,9776
Harford County,2045,Total Non-Hispanic Other,2318,2527,2366,2073,1471,1306,1400,2049,1965,1691,1410,1230,1287,1068,940,541,451,151,26244
Allegany County,2020,Total Non-Hispanic Other,166,147,145,202,218,155,196,157,76,74,73,62,77,61,66,52,28,48,2003
Howard County,2040,Total Non-Hispanic Other,6587,6671,6929,7339,7585,8064,7685,7675,7517,7272,6896,7184,6760,6293,5112,4293,3012,2529,115403
State of Maryland,2035,Total Non-Hispanic Other,55117,52566,50542,46621,45340,57992,57277,53539,48036,46326,47290,46108,44109,36253,31456,23522,15194,15334,772622
Caroline County,2035,Total Non-Hispanic Other,179,182,175,106,49,128,116,94,84,59,51,42,28,25,23,19,11,6,1377
Howard County,2010,Total Non-Hispanic Other,4529,4943,4443,3640,2646,3397,3935,4534,4467,4027,3218,2261,1757,1256,951,587,331,208,51130
Calvert County,2020,Total Male,2534,2736,3034,3139,2610,2486,2863,2808,2421,2692,3702,4281,3423,2561,1984,1393,814,1003,46484
Dorchester Co,2015,Total Non-Hispanic Other,81,165,115,88,58,69,63,59,56,52,57,69,47,35,30,13,6,3,1066
Somerset County,2040,Total Non-Hispanic Other,119,140,88,84,81,53,84,76,75,71,72,38,39,36,17,18,14,15,1120
Cecil County,2010,Total Non-Hispanic Other,416,404,391,272,209,218,169,215,194,187,174,127,122,60,42,27,14,5,3246
Somerset County,2020,Total Non-Hispanic Other,94,88,90,65,76,54,60,30,44,35,49,44,41,32,19,18,9,8,856
Montgomery County,2045,Total Non-Hispanic Other,17197,18253,18526,17203,14864,15657,17207,18961,19343,18443,16021,15409,16190,16090,15312,12952,10261,15817,293706
Prince George's County,2025,Total Non-Hispanic Other,4171,3253,3183,4186,5645,5835,5078,4570,4155,4384,4133,3789,3477,2937,2284,1584,748,534,63946
Frederick County,2010,Total Non-Hispanic Other,1818,1737,1507,1137,681,874,1160,1340,1159,947,786,566,408,274,186,130,73,37,14820
Charles County,2040,Total Non-Hispanic White,13644,14707,16208,16223,11182,10914,11543,13235,14926,14918,12441,10701,10012,11559,11542,9526,4701,3149,211131
Calvert County,2045,Total Non-Hispanic Other,366,432,475,466,242,223,214,405,487,427,345,315,271,171,191,188,140,21,5379
Allegany County,2040,Total Non-Hispanic Other,253,276,262,202,207,194,270,252,168,133,119,93,74,55,40,23,25,25,2671
Kent County,2020,Total Non-Hispanic Other,29,24,77,65,46,28,26,19,23,15,19,27,25,23,17,6,3,2,474
Montgomery County,2010,Total Non-Hispanic Other,12931,12730,11602,10039,8519,11336,12906,13799,13174,13205,11707,9603,7952,5771,4277,2768,1693,1307,165319
Charles County,2045,Total Non-Hispanic Other,1743,1906,2058,2072,1458,1361,1148,1825,1769,1674,1377,1086,980,930,791,727,603,138,23646
Worcester County,2030,Total Non-Hispanic Other,196,208,209,228,177,123,125,100,82,97,124,107,100,100,91,47,23,18,2155
Calvert County,2020,Total Female,4305,5504,6412,6175,4356,4095,4127,5360,6989,8064,7483,6311,5320,3992,2794,2225,1912,1844,87268
Charles County,2025,Total Non-Hispanic Other,1292,1136,997,1488,1185,1241,1093,950,893,866,843,877,778,671,481,318,182,40,15331
Allegany County,2025,Total Non-Hispanic Other,176,177,188,324,322,222,153,136,98,76,90,62,67,52,43,27,24,17,2254
Washington County,2035,Total Non-Hispanic Other,1211,1248,1156,853,570,1212,1093,895,682,512,538,463,487,338,308,161,31,21,11779
Charles County,2010,Total Non-Hispanic Other,1111,1090,1094,845,594,620,692,718,745,672,613,491,343,206,129,110,57,26,10156
Talbot County,2045,Total Non-Hispanic Other,95,107,119,104,86,72,49,166,144,114,103,53,51,22,20,27,18,37,1387
State of Maryland,2015,Total Non-Hispanic Other,38725,46923,44918,38222,33211,37141,39135,39966,39633,35777,34061,29492,23763,18385,12688,8498,4893,3873,529304
Anne Arundel County,2010,Total Non-Hispanic Other,3721,3233,2895,2395,2043,2482,2623,2510,2089,2109,1906,1546,1223,874,565,323,210,123,32870
Worcester County,2035,Total Non-Hispanic Other,238,210,257,213,109,155,144,134,94,95,111,115,123,85,95,66,31,22,2297
Calvert County,2025,Total Non-Hispanic Other,360,329,336,569,365,339,293,276,248,228,273,306,319,169,117,83,49,8,4667
Allegany County,2045,Total Non-Hispanic Other,228,267,284,270,220,185,160,280,215,165,138,108,94,48,52,22,20,26,2782
State of Maryland,2010,Total,363828,366390,378312,374039,361721,384475,361859,371760,412045,455453,435419,374190,314837,224108,157054,121064,93340,85283,5635177
Harford County,2035,Total Non-Hispanic Other,2127,1932,1809,1530,1171,1684,1746,1604,1341,1199,1267,1110,1100,914,797,464,292,101,22188
Prince George's County,2020,Total Non-Hispanic Other,3624,3184,3967,3980,5098,6035,4668,4162,4276,4007,3761,3585,3417,2703,1997,1189,576,460,60689
Wicomico County,2035,Total Non-Hispanic Other,743,722,607,496,544,863,789,716,545,542,425,423,371,278,252,148,82,30,8576
Somerset County,2045,Total Non-Hispanic Other,107,130,113,66,96,64,54,84,82,70,76,64,31,39,16,16,11,16,1135
Baltimore County,2015,Total Non-Hispanic Other,5742,6659,5875,4938,4603,5173,5376,5549,5357,4190,3741,3353,2665,2045,1382,1000,492,315,68455
Carroll County,2030,Total Non-Hispanic Other,875,799,646,584,571,612,564,516,445,359,342,493,460,470,330,120,75,57,8318
Calvert County,2030,Total Non-Hispanic Other,420,398,367,321,339,407,370,312,301,261,233,274,317,233,160,103,61,11,4888
Dorchester Co,2025,Total Non-Hispanic Other,109,81,78,166,100,97,78,84,81,66,65,58,62,60,43,19,9,3,1259
St. Mary's County,2035,Total Non-Hispanic Other,961,1055,909,771,585,928,829,674,604,493,470,489,426,404,379,248,96,56,10377
Wicomico County,2045,Total Non-Hispanic Other,693,791,825,809,688,503,543,974,887,774,569,545,397,345,279,167,102,48,9939
Queen Anne's County,2035,Total Non-Hispanic Other,215,202,149,100,94,198,187,142,122,97,77,95,124,118,110,71,39,-1,2139
State of Maryland,2020,Total Non-Hispanic Other,40684,41409,51056,46705,39462,40448,40457,42365,42347,41684,37451,34700,29960,22670,17418,11164,6868,5537,592385
Dorchester Co,2030,Total Non-Hispanic Other,136,100,80,77,140,116,99,90,87,84,68,69,57,55,61,21,10,3,1353
Garrett County,2040,Total Non-Hispanic Other,101,105,115,63,44,59,83,67,29,35,33,23,18,14,9,9,15,13,835
St. Mary's County,2035,Total Non-Hispanic Black,1651,1770,1867,1725,1372,1525,1546,1424,1674,1677,1557,1197,1230,1180,981,571,307,234,23488
Garrett County,2015,Total Non-Hispanic Other,34,46,78,35,38,37,26,15,11,15,18,18,20,15,5,2,12,5,430
Allegany County,2030,Total Non-Hispanic Other,239,189,185,195,363,287,188,160,115,97,81,82,63,43,50,25,22,21,2405
Carroll County,2010,Total Non-Hispanic Other,604,669,539,464,272,220,231,357,339,363,298,217,158,124,88,37,24,17,5021
Anne Arundel County,2025,Total Non-Hispanic Other,3485,3135,3252,4703,3948,3751,3344,3084,3231,3147,2865,2376,2315,1901,1458,920,616,200,47731
Carroll County,2045,Total Non-Hispanic Other,884,1018,1008,1026,586,483,475,737,760,672,603,521,389,354,450,209,147,134,10456
Caroline County,2040,Total Non-Hispanic Other,202,173,212,151,60,52,136,119,100,67,59,49,27,23,22,16,11,7,1486
Washington County,2040,Total Non-Hispanic Other,1249,1269,1311,1169,750,595,1237,1138,906,700,514,541,452,402,314,203,40,22,12812
Queen Anne's County,2015,Total Non-Hispanic Other,108,236,216,133,94,71,56,69,95,102,101,77,65,51,33,16,7,1,1531
Somerset County,2015,Total Non-Hispanic Other,70,106,74,54,64,48,29,31,36,36,45,50,29,30,17,15,8,4,746
Talbot County,2025,Total Non-Hispanic Other,95,73,51,155,129,113,103,64,87,60,54,66,40,22,24,18,16,18,1188
Harford County,2030,Total Non-Hispanic Other,1810,1718,1491,1467,1559,1551,1453,1299,1166,1230,1110,1076,961,874,670,345,253,84,20117
State of Maryland,2010,Total Non-Hispanic Other,43455,40824,36511,30983,29625,35067,36335,37022,33687,32265,28854,23330,19213,13331,9608,6078,3644,2633,462465
Howard County,2015,Total Non-Hispanic Other,5509,5869,5821,4830,3643,3946,4759,5244,5611,4880,4371,3266,2418,1900,1355,973,573,331,65299
Somerset County,2025,Total Non-Hispanic Other,120,114,71,82,89,64,64,60,40,44,46,49,37,46,17,19,12,9,983
Baltimore County,2025,Total Non-Hispanic Other,6434,6383,6591,7532,7067,6790,6038,6029,5982,5930,5844,4552,3970,3133,2303,1726,962,618,87884
Frederick County,2035,Total Non-Hispanic Other,3042,2749,2540,1806,1393,2406,2482,2504,2109,1605,1586,1698,1854,1492,1042,776,510,221,31815
Kent County,2035,Total Non-Hispanic Other,60,48,35,29,30,57,51,23,23,19,24,27,14,18,17,10,7,4,496
Kent County,2045,Total Non-Hispanic Other,45,46,59,52,38,14,15,42,38,25,25,22,21,25,12,7,9,4,499
Frederick County,2030,Total Non-Hispanic Other,2627,2418,1771,1638,1998,2175,2349,2008,1577,1522,1647,1816,1514,1237,829,537,376,159,28198
State of Maryland,2030,Total Non-Hispanic Other,51546,48601,45958,45989,52440,55275,51698,46999,45275,46393,45884,44137,38415,33482,26974,18825,12434,11536,721861
Howard County,2035,Total Non-Hispanic Other,6530,6832,7290,7586,7809,7473,7493,7394,7223,6868,7197,6766,6383,5293,4517,3403,2279,1878,110214
Calvert County,2020,Non-Hisp White Female,3732,4859,5459,5284,3689,3421,3445,4778,6341,7388,6570,5376,4640,3483,2392,1965,1764,1727,76313
Baltimore County,2040,Total Non-Hispanic Other,7448,7211,6813,6774,6837,7238,8495,7879,7191,6280,6198,6136,6091,5234,3901,2966,2035,1291,106018
Dorchester Co,2045,Total Non-Hispanic Other,128,142,134,117,78,70,66,174,130,114,97,94,88,59,60,24,12,4,1591
Baltimore City,2010,Total,40930,35287,34198,37988,50551,55924,44766,36576,37758,42153,42603,36987,30269,21633,16022,12899,9940,9278,595762
Baltimore City,2010,Total Male,20581,17990,17221,18929,23352,25709,21195,17366,17997,19912,19483,16844,13616,9356,6585,5026,3487,2795,277444
Baltimore City,2010,Total Female,20349,17297,16977,19059,27199,30215,23571,19210,19761,22241,23120,20143,16653,12277,9437,7873,6453,6483,318318
Dorchester Co,2035,Total Non-Hispanic Other,151,124,97,80,61,154,118,108,91,89,87,70,68,50,54,27,10,3,1442
Baltimore City,2010,Non-Hisp White Male,3967,2833,2568,2751,6808,10385,7853,5737,5403,5658,5758,5665,4977,3448,2401,1861,1512,1363,80948
Baltimore City,2010,Non-Hisp White Female,3763,2734,2435,2711,8050,11192,7602,5493,4867,5089,5707,5546,5070,3865,2731,2444,2515,2943,84757
